---
description: Technical verb in the progressive form (Bengali) — the -করছে / -হচ্ছে form a status message uses, which is how a Bengali progress indicator actually reads.
locale: bn
---
ব্যাকআপ করছে
বাইপাস করছে
হ্যাক করছে
ওভাররাইড করছে
কম্প্রেস করছে
কপি করছে
নেভিগেট করছে
ইনডেক্স করছে
সংযোগ করছে
তৈরি করছে
পরিমাপ করছে
গণনা করছে
সংশ্লেষণ করছে
প্রেরণ করছে
প্রোগ্রাম করছে
রিবুট করছে
পার্স করছে
এনক্রিপ্ট করছে
মোতায়েন করছে
লোড হচ্ছে
সিঙ্ক হচ্ছে
ডাউনলোড হচ্ছে
আপলোড হচ্ছে
যাচাই করছে
প্রক্রিয়াকরণ করছে
অপেক্ষা করছে
সংরক্ষণ করছে
পুনরুদ্ধার করছে
