---
address: bhutan.geo.postalCodeWithPlace
description: The same 149 postcodes as bhutan.geo.postalCode, each with the delivery point it serves, in the order Bhutan writes them — the LOCALITY FIRST AND THE CODE AFTER IT, so a Bhutanese address line reads "Thimphu 11001". This file exists because the two halves cannot be drawn independently: 11001 is Thimphu and 46102 is Nganglam, and a config that picks a town from bhutan.geo.city and a code from bhutan.geo.postalCode gets a matching pair roughly one time in a hundred and fifty. Most of the delivery points are NOT towns — they are gewogs, because outside the thromdes a Bhutanese postal address is addressed to a gewog and a village, so Kawang, Dopshari and Phobjikha appear here as postal destinations and do not appear in bhutan.geo.city, which lists only settlements the census counts as towns. Several places carry more than one code (Phuentsholing has four, Gelephu two, Paro two), which is the ordinary post-office-plus-dungkhag arrangement and not duplication. Five place names have been normalised to the Roman Dzongkha spellings used elsewhere in this pack so the column joins — Phuntsholing to Phuentsholing, Tashigang to Trashigang, Lhuntse to Lhuentse, Samdrupjongkhar to Samdrup Jongkhar, Samdrupcholing to Samdrup Choling; every other name is exactly as the register prints it, spelling variants included, because the register is the authority for what a postal destination is called. Source: the Bhutan Post register as republished by Parcelforce Worldwide, October 2019.
locale: en
---
Thimphu 11001
Tashichodzong 11002
Darkarla 11004
Genyen 11005
Maedwang 11006
Kawang 11007
Lhingzhi 11103
Paro 12001
Paro 12002
Bitekha 12003
Dawakha 12004
Dopshari 12005
Lamgong 12006
Hoongrel 12007
Loongnyi 12008
Doteng 12009
Guma 13001
Thinleygang 13002
Barp 13003
Talog 13004
Kabisa 13005
Lingmukha 13006
Shelnga-Bjimi 13007
Dzomi 13008
Goen Khatoed 14001
Khamaed 14002
Katsho 15001
Uesu 15003
Bji 15004
Samar 15005
Sombeykha 15102
Thetsho 16001
Sephu 16002
Nobding 16003
Phobjikha 16004
Phangyuel 16005
Gasa Tshogom 16006
Bjednag 16007
Ruebisa 16008
Nyishog 16009
Tshimasham 21003
Gedu 21004
Chapchha 21006
Bjagchhog 21007
Bongo 21008
Sampheling 21009
Darla 21010
Phuentsholing 21011
Lhamoizingkha 21012
Phuentsholing 21101
Phuentsholing 21104
Kamji 21105
Samtse 22001
Dorokha 22002
Tendruk 22003
Sipsu 22004
Phuntshopelri 22006
Ugyentse 22007
Chengmari 22008
Pugli 22009
Namgaycholing 22010
Sarpang 31002
Jigmecholing 31003
Hilley 31005
Serzhong 31006
Dekidling 31007
Shompangkha 31008
Umling 31009
Gelephu 31101
Gelephu 31104
Tsirang 32001
Tsirang Toed 32002
Phuntenchu 32003
Patsaling 32004
Barshong 32005
Gosarling 32006
Doonglagang 32007
Trongsa 33001
Tashiling 33002
Langthel 33003
Korphu 33004
Nubi 33005
Drakteng 33006
Tangsibji 33007
Chumey 34002
Tang 34003
Ura 34004
Chhokor 34005
Dagana 35001
Dagapela 35002
Drujegang 35003
Kana 35004
Zhemgang 36001
Trong 36002
Nangkor 36003
Ngangla 36004
Samdrup Jongkhar 41001
Samdrup Choling 41103
Gomdar 41204
Phuntshothang 41406
Orong 41507
Martshala 41608
Pemathang 41709
Trashigang 42001
Rangjung 42004
Radhi 42005
Khaling 42006
Kanglung 42007
Bidung 42008
Kangpara 42009
Phongmey 42011
Yangnyer 42012
Bartsham 42014
Lumang 42102
Thrimshing 42210
Lanchenphu 42305
Chali 43001
Chaskhar 43003
Trashiyangtse 43006
Doksum 43007
Tongmizhangsa 43008
Jamkhar 43009
Yalang 43010
Ramjar 43011
Toedtsho 43012
Boomdeling 43013
Saling 44002
Ngatshang 44003
Drametse 44004
Saling 44005
Mongar 44006
Shermuhoong 44007
Drepoong 44008
Thangrong 44009
Lhuentse 45001
Tangmachu 45002
Khoma 45003
Maenbi 45004
Gangzur 45005
Tsenkhar 45006
Pemagatshel 46001
Zhangkhar 46003
Dechenling 46004
Chongshing 46005
Yurung 46006
Zoble 46007
Dungmin 46008
Shumar 46009
Nganglam 46102
