---
address: estonia.geo.municipality
description: The 78 local-government units of Estonia (omavalitsusüksused) — 15 towns (linn) and 63 rural municipalities (vald) — as they stand after the 2017 administrative reform, which merged 213 units down to 79, and after the single merger since: Toila vald joined Jõhvi vald on 28 November 2025, on the announcement of the local election results, taking the count from 79 to 78. So a list of 213 is pre-2017, a list of 79 is 2017 to 2025, and 78 is current — and TOILA VALD is the name that a dataset built any time in the last eight years still carries and that no longer exists. A pre-2017 list is the more common failure: names such as Keila vald, Kuressaare linn, Vändra vald and Saue linn were all abolished then. Names carrying "linn" or "vald" are official and part of the name; Tallinn is written without a suffix because the word is already in it. Rakvere, Tartu, Viljandi and Võru appear twice on purpose — the town and the surrounding rural municipality are separate units that share a name, which is why a join on municipality name alone returns two rows for four of Estonia's best-known places. This is NOT the same list as estonia.geo.city: 32 of the 47 Estonian towns are not municipalities at all.
locale: et
---
Alutaguse vald
Anija vald
Antsla vald
Elva vald
Haapsalu linn
Haljala vald
Harku vald
Hiiumaa vald
Häädemeeste vald
Jõelähtme vald
Jõgeva vald
Jõhvi vald
Järva vald
Kadrina vald
Kambja vald
Kanepi vald
Kastre vald
Kehtna vald
Keila linn
Kihnu vald
Kiili vald
Kohila vald
Kohtla-Järve linn
Kose vald
Kuusalu vald
Loksa linn
Luunja vald
Lääne-Harju vald
Lääne-Nigula vald
Lääneranna vald
Lüganuse vald
Maardu linn
Muhu vald
Mulgi vald
Mustvee vald
Märjamaa vald
Narva linn
Narva-Jõesuu linn
Nõo vald
Otepää vald
Paide linn
Peipsiääre vald
Põhja-Pärnumaa vald
Põhja-Sakala vald
Põltsamaa vald
Põlva vald
Pärnu linn
Raasiku vald
Rae vald
Rakvere linn
Rakvere vald
Rapla vald
Ruhnu vald
Rõuge vald
Räpina vald
Saarde vald
Saaremaa vald
Saku vald
Saue vald
Setomaa vald
Sillamäe linn
Tallinn
Tapa vald
Tartu linn
Tartu vald
Tori vald
Tõrva vald
Türi vald
Valga vald
Viimsi vald
Viljandi linn
Viljandi vald
Vinni vald
Viru-Nigula vald
Vormsi vald
Võru linn
Võru vald
Väike-Maarja vald
