---
address: kazakhstan.geo.region
description: Regions of Kazakhstan — 17 oblasts plus the three cities of republican significance (the "state" equivalent)
locale: ru
---
Абайская область
Акмолинская область
Актюбинская область
Алматинская область
Атырауская область
Восточно-Казахстанская область
Жамбылская область
Жетысуская область
Западно-Казахстанская область
Карагандинская область
Костанайская область
Кызылординская область
Мангистауская область
Павлодарская область
Северо-Казахстанская область
Туркестанская область
Улытауская область
город Астана
город Алматы
город Шымкент
