---
address: laos.geo.districtWithCode
description: The paired table behind laos.geo.district and laos.geo.districtCode — the four-digit ເມືອງ code, a space, then the district in Lao. All 148 of them, which is the whole second level of Lao local government and not a sample. THE CODE IS HIERARCHICAL: the first two digits are the province number from laos.geo.provinceCode and the last two number the district inside it, so 0101 is ຈັນທະບູລີ in ນະຄອນຫຼວງວຽງຈັນ and 1301 is ໄກສອນ ພົມວິຫານ in ສະຫວັນນະເຂດ, and truncating any code to two digits rolls it up to its province correctly. District numbers run 01 upward with no gaps, and the count per province varies from 4 (ເຊກອງ) to 15 (ສະຫວັນນະເຂດ) — so a generator that draws a province and then a district number from a fixed range invents districts that do not exist, which is exactly why this file is a table and not two independent draws. THE ເມືອງ IS THE UNIT THAT MATTERS IN LAOS and a reader coming from Europe will get this wrong. Laos has THREE levels of administration and no more: ແຂວງ (province), ເມືອງ (district, also called ເທສະບານ), ບ້ານ (village). There is no city, no municipality, no county and no commune — the ຕາແສງ that once sat between ເມືອງ and ບ້ານ was abolished. So a Lao postal address is village, district, province, and the ບ້ານ is what actually locates a house; "city" is a category Lao administration does not have, which is why laos.geo.city in this pack is the URBAN PART of a ເມືອງ rather than a municipality (it says so itself). Names are written BARE, without the ເມືອງ in front, which is ordinary Lao vocabulary. Three districts are named identically to a district in another province — ວຽງທອງ is 0703 in ຫົວພັນ and 1106 in ບໍລິຄຳໄຊ, ໂພນທອງ is 0612 in ຫຼວງພະບາງ and 1606 in ຈຳປາສັກ, ໄຊເສດຖາ is 0103 in the capital while ອັດຕະປື spells its own ໄຊເຊດຖາ (1701) with a different sibilant — so the district NAME is not a key and the four-digit code is.
locale: lo
---
0101 ຈັນທະບູລີ
0102 ສີໂຄດຕະບອງ
0103 ໄຊເສດຖາ
0104 ສີສັດຕະນາກ
0105 ນາຊາຍທອງ
0106 ໄຊທານີ
0107 ຫາດຊາຍຟອງ
0108 ສັງທອງ
0109 ປາກງື່ມ
0201 ຜົ້ງສາລີ
0202 ໃໝ່
0203 ຂວາ
0204 ສຳພັນ
0205 ບຸນເໜືອ
0206 ຍອດອູ
0207 ບຸນໃຕ້
0301 ຫຼວງນໍ້າທາ
0302 ສີງ
0303 ລອງ
0304 ວຽງພູຄາ
0305 ນາແລ
0401 ໄຊ
0402 ຫຼາ
0403 ນາໝໍ້
0404 ງາ
0405 ແບ່ງ
0406 ຮຸນ
0407 ປາກແບ່ງ
0501 ຫ້ວຍຊາຍ
0502 ຕົ້ນເຜິ້ງ
0503 ເມິງ
0504 ຜາອຸດົມ
0505 ປາກທາ
0601 ຫຼວງພະບາງ
0602 ຊຽງເງິນ
0603 ນານ
0604 ປາກອູ
0605 ນ້ຳບາກ
0606 ງອຍ
0607 ປາກແຊງ
0608 ໂພນໄຊ
0609 ຈອມເພັດ
0610 ວຽງຄຳ
0611 ພູຄູນ
0612 ໂພນທອງ
0701 ຊຳເໜືອ
0702 ຊຽງຄໍ້
0703 ວຽງທອງ
0704 ວຽງໄຊ
0705 ຫົວເມືອງ
0706 ຊຳໃຕ້
0707 ສົບເບົາ
0708 ແອດ
0709 ກອັນ
0710 ຊ່ອນ
0801 ໄຊຍະບູລີ
0802 ຄອບ
0803 ຫົງສາ
0804 ເງິນ
0805 ຊຽງຮ່ອນ
0806 ພຽງ
0807 ປາກລາຍ
0808 ແກ່ນທ້າວ
0809 ບໍ່ແຕນ
0810 ທົ່ງມີໄຊ
0811 ໄຊສະຖານ
0901 ແປກ
0902 ຄຳ
0903 ໜອງແຮດ
0904 ຄູນ
0905 ໝອກໃໝ່
0906 ພູກູດ
0907 ຜາໄຊ
1001 ໂພນໂຮງ
1002 ທຸລະຄົມ
1003 ແກ້ວອຸດົມ
1004 ກາສີ
1005 ວັງວຽງ
1006 ເຟືອງ
1007 ຊະນະຄາມ
1008 ແມດ
1009 ວຽງຄຳ
1010 ຫີນເຫີບ
1011 ໝື່ນ
1101 ປາກຊັນ
1102 ທ່າພະບາດ
1103 ປາກກະດິງ
1104 ບໍລິຄັນ
1105 ຄຳເກີດ
1106 ວຽງທອງ
1107 ໄຊຈຳພອນ
1201 ທ່າແຂກ
1202 ມະຫາໄຊ
1203 ໜອງບົກ
1204 ຫີນບູນ
