---
address: russia.geo.region
description: Federal subject of Russia (oblast / krai / republic — the "state" equivalent)
---
Московская область
Краснодарский край
Свердловская область
Ростовская область
Республика Башкортостан
Республика Татарстан
Челябинская область
Нижегородская область
Самарская область
Ленинградская область
Красноярский край
Пермский край
Волгоградская область
Саратовская область
Тюменская область
Иркутская область
Кемеровская область
Ставропольский край
Новосибирская область
Воронежская область
Оренбургская область
Алтайский край
Приморский край
Республика Дагестан
Ханты-Мансийский автономный округ
Хабаровский край
Тульская область
Владимирская область
Белгородская область
Ярославская область
Тверская область
Пензенская область
Ульяновская область
Липецкая область
Кировская область
Республика Крым
Вологодская область
Курская область
Брянская область
Тамбовская область
Ивановская область
Астраханская область
Калужская область
Республика Коми
Рязанская область
Забайкальский край
Удмуртская Республика
Чувашская Республика
Архангельская область
Калининградская область
