---
description: Чеченцы — female patronymic, the feminine form of the same patronymic at the same line as the male list
weighted: true
---
Магомедовна,1000000
Исламовна,500000
Ахмедовна,333333
Адамовна,250000
Хасановна,200000
Хусейновна,166667
Аслановна,142857
Рамзановна,125000
Мусична,111111
Исична,100000
Салмановна,90909
Юсуповна,83333
Шамилевна,76923
Зелимхановна,71429
Турпаловна,66667
Бекхановна,62500
Вахична,58824
Лечиовна,55556
Саидовна,52632
Асланбековна,50000
Умаровна,47619
Хамзатовна,45455
Мовсаровна,43478
Аптиовна,41667
Резвановна,40000
Сулимовна,38462
