---
description: Чеченцы — male patronymic, formed from the father's given name by the Russian rules
weighted: true
---
Магомедович,1000000
Исламович,500000
Ахмедович,333333
Адамович,250000
Хасанович,200000
Хусейнович,166667
Асланович,142857
Рамзанович,125000
Мусич,111111
Исич,100000
Салманович,90909
Юсупович,83333
Шамилевич,76923
Зелимханович,71429
Турпалович,66667
Бекханович,62500
Вахич,58824
Лечиович,55556
Саидович,52632
Асланбекович,50000
Умарович,47619
Хамзатович,45455
Мовсарович,43478
Аптиович,41667
Резванович,40000
Сулимович,38462
