---
description: Народы Дагестана — female patronymic, the feminine form of the same patronymic at the same line as the male list
weighted: true
---
Магомедовна,1000000
Гаджиовна,500000
Ахмедовна,333333
Алиовна,250000
Расуловна,200000
Курбановна,166667
Шамилевна,142857
Абдуллична,125000
Омаровна,111111
Мурадовна,100000
Камилевна,90909
Загировна,83333
Надировна,76923
Саидовна,71429
Рабадановна,66667
Маратовна,62500
Зауровна,58824
Исламовна,55556
Юсуповна,52632
Арсеновна,50000
Муратовна,47619
Тимуровна,45455
Хабибовна,43478
Нурмагомедовна,41667
Гасановна,40000
