---
description: Народы Дагестана — male patronymic, formed from the father's given name by the Russian rules
weighted: true
---
Магомедович,1000000
Гаджиович,500000
Ахмедович,333333
Алиович,250000
Расулович,200000
Курбанович,166667
Шамилевич,142857
Абдуллич,125000
Омарович,111111
Мурадович,100000
Камилевич,90909
Загирович,83333
Надирович,76923
Саидович,71429
Рабаданович,66667
Маратович,62500
Заурович,58824
Исламович,55556
Юсупович,52632
Арсенович,50000
Муратович,47619
Тимурович,45455
Хабибович,43478
Нурмагомедович,41667
Гасанович,40000
