---
description: Female patronymic as met in Russia — weights are 2021 census populations × rank, so the mix matches the country
weighted: true
---
Александровна,52962
Сергеевна,49732
Владимировна,46240
Андреевна,43282
Алексеевна,40560
Дмитриевна,38051
Михайловна,35734
Николаевна,33593
Ивановна,31611
Евгеньевна,29775
Максимовна,28072
Артёмовна,26489
Денисовна,25018
Игоревна,23649
Павловна,22372
Юрьевна,21182
Викторовна,20070
Романовна,19032
Олеговна,18060
Анатольевна,17150
Константиновна,16297
Васильевна,15497
Антоновна,14746
Витальевна,14040
Валерьевна,13377
Борисовна,12753
Григорьевна,12165
Леонидовна,11610
Петровна,11088
Даниловна,10745
Егоровна,10594
Никитична,10129
Ильинична,9688
Кирилловна,9272
Вадимовна,8505
Георгиевна,8313
Владиславовна,7816
Тимофеевна,7498
Матвеевна,7196
Тимуровна,7163
Арсеньевна,6910
Фёдоровна,6637
Степановна,6378
Захаровна,6132
Львовна,5898
Марковна,5674
Глебовна,5462
Ярославовна,5259
Святославовна,5066
Богдановна,4887
Всеволодовна,4882
Вячеславовна,4706
Станиславовна,4538
Руслановна,4446
Ростиславовна,4377
Артуровна,4332
Мирославовна,4224
Маратовна,4204
Магомедовна,4150
Ахмедовна,3653
Ринатовна,3624
Эдуардовна,3551
Валентиновна,3433
Геннадьевна,3320
Аркадьевна,3211
Семёновна,3107
Филипповна,3008
Мироновна,2934
Германовна,2912
Рустамовна,2849
Давидовна,2826
Родионовна,2820
Тарасовна,2776
Савельевна,2732
Ильдаровна,2721
Саввична,2647
Исламовна,2596
Гордеевна,2487
Ильнуровна,2387
Салаватовна,2369
Платоновна,2339
Шамилевна,2329
Тихоновна,2270
Гаджиовна,2240
Айдаровна,2239
Мансуровна,2224
Иннокентьевна,2202
Прохоровна,2138
Зауровна,2135
Расуловна,2094
Демьяновна,2075
Ефимовна,2015
Азатовна,1977
Алиовна,1960
Гавриловна,1958
Наумовна,1902
Рамилевна,1860
Азаматовна,1858
Муратовна,1803
Устиновна,1796
Адамовна,1760
Аслановна,1755
Наилевна,1752
Булатовна,1750
Власовна,1746
Курбановна,1723
Дамировна,1710
Осиповна,1698
Абдуллична,1666
Ленаровна,1652
Игнатовна,1651
Мурадовна,1611
Фоминична,1606
Радиковна,1569
Лукинична,1563
Фаритовна,1559
Макаровна,1521
Саидовна,1498
Емельяновна,1480
Юсуповна,1444
Кузьминична,1441
Омаровна,1432
Трофимовна,1403
Афанасьевна,1366
Аверьяновна,1331
Камилевна,1271
Елисеевна,1263
Айратовна,1247
Евсеевна,1231
Загировна,1200
Климовна,1200
Ильшатовна,1181
Лаврентьевна,1170
Ураловна,1168
Никифоровна,1141
Надировна,1133
Хамитовна,1132
Мусична,1130
Рамзановна,1130
Остаповна,1113
Пантелеевна,1113
Исична,1111
Ильгамовна,1093
Спиридоновна,1085
Фанисовна,1063
Терентьевна,1059
Айнуровна,1052
Арсеновна,1050
Юнусовна,1037
Ульяновна,1033
Айбулатовна,1024
Рабадановна,1013
Ирековна,1009
Харитоновна,1008
Юлиановна,984
Данисовна,961
Яковлевна,960
Рафаэлевна,959
Хасановна,958
Серафимовна,938
Талгатовна,923
Ефремовна,916
Ильгизовна,912
Хусейновна,899
Мстиславовна,894
Нестеровна,873
Зуфаровна,868
Моисеевна,853
Рафисовна,848
Самсоновна,834
