---
description: Евреи — surname that does not decline, identical for a man and a woman
weighted: true
---
Рабинович,1000000
Каган,500000
Шапиро,333333
Гуревич,250000
Каплан,200000
Эпштейн,166667
Цукерман,142857
Рубинштейн,125000
Фридман,111111
Фельдман,100000
Эйдельман,90909
Розенберг,83333
Гольдберг,76923
Вайнберг,71429
Финкельштейн,66667
Перельман,62500
Мандельштам,58824
Зильбер,55556
Хейфец,52632
Сегал,50000
Левит,47619
Кац,45455
Ойстрах,43478
Шварц,41667
Райх,40000
Бланк,38462
Иоффе,37037
Лифшиц,35714
