---
description: Male patronymic as met in Russia — weights are 2021 census populations × rank, so the mix matches the country
weighted: true
---
Александрович,52962
Сергеевич,49732
Владимирович,46240
Андреевич,43282
Алексеевич,40560
Дмитриевич,38051
Михайлович,35734
Николаевич,33593
Иванович,31611
Евгеньевич,29775
Максимович,28072
Артёмович,26489
Денисович,25018
Игоревич,23649
Павлович,22372
Юрьевич,21182
Викторович,20070
Романович,19032
Олегович,18060
Анатольевич,17150
Константинович,16297
Васильевич,15497
Антонович,14746
Витальевич,14040
Валерьевич,13377
Борисович,12753
Григорьевич,12165
Леонидович,11610
Петрович,11088
Данилович,10745
Егорович,10594
Никитич,10129
Ильич,9688
Кириллович,9272
Вадимович,8505
Георгиевич,8313
Владиславович,7816
Тимофеевич,7498
Матвеевич,7196
Тимурович,7163
Арсеньевич,6910
Фёдорович,6637
Степанович,6378
Захарович,6132
Львович,5898
Маркович,5674
Глебович,5462
Ярославович,5259
Святославович,5066
Богданович,4887
Всеволодович,4882
Вячеславович,4706
Станиславович,4538
Русланович,4446
Ростиславович,4377
Артурович,4332
Мирославович,4224
Маратович,4204
Магомедович,4150
Ахмедович,3653
Ринатович,3624
Эдуардович,3551
Валентинович,3433
Геннадьевич,3320
Аркадьевич,3211
Семёнович,3107
Филиппович,3008
Миронович,2934
Германович,2912
Рустамович,2849
Давидович,2826
Родионович,2820
Тарасович,2776
Савельевич,2732
Ильдарович,2721
Саввич,2647
Исламович,2596
Гордеевич,2487
Ильнурович,2387
Салаватович,2369
Платонович,2339
Шамилевич,2329
Тихонович,2270
Гаджиович,2240
Айдарович,2239
Мансурович,2224
Иннокентьевич,2202
Прохорович,2138
Заурович,2135
Расулович,2094
Демьянович,2075
Ефимович,2015
Азатович,1977
Алиович,1960
Гаврилович,1958
Наумович,1902
Рамилевич,1860
Азаматович,1858
Муратович,1803
Устинович,1796
Адамович,1760
Асланович,1755
Наилевич,1752
Булатович,1750
Власович,1746
Курбанович,1723
Дамирович,1710
Осипович,1698
Абдуллич,1666
Ленарович,1652
Игнатович,1651
Мурадович,1611
Фомич,1606
Радикович,1569
Лукич,1563
Фаритович,1559
Макарович,1521
Саидович,1498
Емельянович,1480
Юсупович,1444
Кузьмич,1441
Омарович,1432
Трофимович,1403
Афанасьевич,1366
Аверьянович,1331
Камилевич,1271
Елисеевич,1263
Айратович,1247
Евсеевич,1231
Загирович,1200
Климович,1200
Ильшатович,1181
Лаврентьевич,1170
Уралович,1168
Никифорович,1141
Надирович,1133
Хамитович,1132
Мусич,1130
Рамзанович,1130
Остапович,1113
Пантелеевич,1113
Исич,1111
Ильгамович,1093
Спиридонович,1085
Фанисович,1063
Терентьевич,1059
Айнурович,1052
Арсенович,1050
Юнусович,1037
Ульянович,1033
Айбулатович,1024
Рабаданович,1013
Ирекович,1009
Харитонович,1008
Юлианович,984
Данисович,961
Яковлевич,960
Рафаэлевич,959
Хасанович,958
Серафимович,938
Талгатович,923
Ефремович,916
Ильгизович,912
Хусейнович,899
Мстиславович,894
Нестерович,873
Зуфарович,868
Моисеевич,853
Рафисович,848
Самсонович,834
Раисович,826
Иосифович,815
Умарович,812
Арменович,805
Бекханович,798
Тагирович,798
Исидорович,796
Ираклиевич,778
Иларионович,761
Миколич,758
Ашотович,752
Габдуллич,750
Викентьевич,744
Вениаминович,727
