---
description: Татары — female surname, the feminine form of the surname at the same line as the male list
weighted: true
---
Хабибуллина,1000000
Гайнуллина,500000
Валиева,333333
Сафина,250000
Шарипова,200000
Ахметова,166667
Зарипова,142857
Каримова,125000
Нуриева,111111
Рахимова,100000
Сабирова,90909
Хайруллина,83333
Фаттахова,76923
Мустафина,71429
Шайхутдинова,66667
Галиева,62500
Исмагилова,58824
Нигматуллина,55556
Салимова,52632
Тагирова,50000
Фазылова,47619
Хасанова,45455
Юнусова,43478
Мингазова,41667
Гимадиева,40000
Заляева,38462
Насырова,37037
Ситдикова,35714
Хамидуллина,34483
Ярулина,33333
