---
description: Татары — female patronymic, the feminine form of the same patronymic at the same line as the male list
weighted: true
---
Ринатовна,1000000
Маратовна,500000
Ильдаровна,333333
Рустамовна,250000
Ильнуровна,200000
Айдаровна,166667
Тимуровна,142857
Азатовна,125000
Рамилевна,111111
Наилевна,100000
Ленаровна,90909
Фаритовна,83333
Мансуровна,76923
Дамировна,71429
Булатовна,66667
Айратовна,62500
Ильшатовна,58824
Салаватовна,55556
Фанисовна,52632
Ирековна,50000
Рафаэлевна,47619
Ильгизовна,45455
Зуфаровна,43478
Раисовна,41667
Юнусовна,40000
Габдуллична,38462
Мухамматовна,37037
Рушановна,35714
Фаилевна,34483
Ниязовна,33333
Айнуровна,32258
Даниловна,31250
Радиковна,30303
Талгатовна,29412
Хамитовна,28571
