---
description: Татары — male given name, ordered by frequency
weighted: true
---
Ринат,1000000
Марат,500000
Ильдар,333333
Рустам,250000
Ильнур,200000
Айдар,166667
Тимур,142857
Азат,125000
Рамиль,111111
Наиль,100000
Ленар,90909
Фарит,83333
Мансур,76923
Дамир,71429
Булат,66667
Айрат,62500
Ильшат,58824
Салават,55556
Фанис,52632
Ирек,50000
Рафаэль,47619
Ильгиз,45455
Зуфар,43478
Раис,41667
Юнус,40000
Габдулла,38462
Мухаммат,37037
Рушан,35714
Фаиль,34483
Нияз,33333
Айнур,32258
Данил,31250
Радик,30303
Талгат,29412
Хамит,28571
