---
address: thailand.geo.provinceWithPostalPrefix
description: The paired table behind thailand.geo.province, thailand.geo.postalCodePrefix and thailand.geo.postalCode — the two-digit POSTAL prefix, a space, then the province written in Thai. Kept as one file so a province can never drift away from its own postcode. 77 lines: 76 provinces (จังหวัด) plus กรุงเทพมหานคร. Note the two things a neighbouring country's pack would not lead you to expect. First, Bangkok and สมุทรปราการ SHARE the prefix 10, so 10 appears twice and there is no postal prefix 19 at all — which pushes the whole central block one below its administrative code (นนทบุรี is province 12 but postcode 11xxx, สระบุรี is province 19 but postcode 18xxx). Second, this prefix is NOT the province code used inside identity numbers; that is thailand.geo.provinceCode, and the two agree everywhere except that central block. 28, 29, 59, 68, 69, 78, 79, 87, 88, 89 and 97 to 99 are not issued.
locale: th
---
10 กรุงเทพมหานคร
10 สมุทรปราการ
11 นนทบุรี
12 ปทุมธานี
13 พระนครศรีอยุธยา
14 อ่างทอง
15 ลพบุรี
16 สิงห์บุรี
17 ชัยนาท
18 สระบุรี
20 ชลบุรี
21 ระยอง
22 จันทบุรี
23 ตราด
24 ฉะเชิงเทรา
25 ปราจีนบุรี
26 นครนายก
27 สระแก้ว
30 นครราชสีมา
31 บุรีรัมย์
32 สุรินทร์
33 ศรีสะเกษ
34 อุบลราชธานี
35 ยโสธร
36 ชัยภูมิ
37 อำนาจเจริญ
38 บึงกาฬ
39 หนองบัวลำภู
40 ขอนแก่น
41 อุดรธานี
42 เลย
43 หนองคาย
44 มหาสารคาม
45 ร้อยเอ็ด
46 กาฬสินธุ์
47 สกลนคร
48 นครพนม
49 มุกดาหาร
50 เชียงใหม่
51 ลำพูน
52 ลำปาง
53 อุตรดิตถ์
54 แพร่
55 น่าน
56 พะเยา
57 เชียงราย
58 แม่ฮ่องสอน
60 นครสวรรค์
61 อุทัยธานี
62 กำแพงเพชร
63 ตาก
64 สุโขทัย
65 พิษณุโลก
66 พิจิตร
67 เพชรบูรณ์
70 ราชบุรี
71 กาญจนบุรี
72 สุพรรณบุรี
73 นครปฐม
74 สมุทรสาคร
75 สมุทรสงคราม
76 เพชรบุรี
77 ประจวบคีรีขันธ์
80 นครศรีธรรมราช
81 กระบี่
82 พังงา
83 ภูเก็ต
84 สุราษฎร์ธานี
85 ระนอง
86 ชุมพร
90 สงขลา
91 สตูล
92 ตรัง
93 พัทลุง
94 ปัตตานี
95 ยะลา
96 นราธิวาส
