---
description: US city weighted by population (US Census 2023, top 1000)
weighted: true
---
New York,8258035
Los Angeles,3820914
Chicago,2664452
Houston,2314157
Phoenix,1650070
Philadelphia,1550542
San Antonio,1495295
San Diego,1388320
Dallas,1302868
Jacksonville,985843
Austin,979882
Fort Worth,978468
San Jose,969655
Columbus,913175
Charlotte,911311
Indianapolis city,879293
San Francisco,808988
Seattle,755078
Denver,716577
Oklahoma City,702767
Nashville-Davidson metropolitan government,687788
Washington,678972
El Paso,678958
Las Vegas,660929
Boston,653833
Detroit,633218
Portland,630498
Louisville/Jefferson County metro government,622981
Memphis,618639
Baltimore,565239
Milwaukee,561385
Albuquerque,560274
Tucson,547239
Fresno,545716
Sacramento,526384
Mesa,511648
Atlanta,510823
Kansas City,510704
Colorado Springs,488664
Omaha,483335
Raleigh,482295
Miami,455924
Virginia Beach,453649
Long Beach,449468
Oakland,436504
Minneapolis,425115
Bakersfield,413381
Tulsa,411894
Tampa,403364
Arlington,398431
Wichita,396119
Aurora,395052
New Orleans,364136
Cleveland,362656
Urban Honolulu,341778
Anaheim,340512
Henderson,337305
Orlando,320742
Lexington-Fayette,320154
Stockton,319543
Riverside,318858
Corpus Christi,316595
Irvine,314621
Cincinnati,311097
Santa Ana,310539
Newark,304960
St. Paul,303820
Pittsburgh,303255
Greensboro,302296
Durham,296186
Lincoln,294757
Jersey City,291657
Plano,290190
Anchorage,286075
North Las Vegas,284771
St. Louis,281754
Madison,280305
Chandler,280167
Gilbert,275411
Reno,274915
Buffalo,274678
Chula Vista,274333
Fort Wayne,269994
Lubbock,266878
Toledo,265304
St. Petersburg,263553
Laredo,257602
Irving,254373
Chesapeake,253886
Glendale,253855
Winston-Salem,252975
Port St. Lucie,245021
Scottsdale,244394
Garland,243470
Boise City,235421
Norfolk,230930
Spokane,229447
Richmond,229247
Fremont,226208
Huntsville,225564
Frisco,225007
Cape Coral,224455
Santa Clarita,224028
San Bernardino,223728
Tacoma,222906
Hialeah,221300
Baton Rouge,219573
Modesto,218915
Fontana,215465
McKinney,213509
Moreno Valley,212392
Des Moines,210381
Fayetteville,209749
Salt Lake City,209593
Yonkers,207657
Worcester,207621
Rochester,207274
Sioux Falls,206410
Little Rock,203842
Amarillo,202408
Tallahassee,202221
Grand Prairie,202134
Columbus,201877
Augusta-Richmond County consolidated government,200884
Peoria,198750
Oxnard,198488
Knoxville,198162
Overland Park,197089
Birmingham,196644
Grand Rapids,196608
Vancouver,196442
Montgomery,195287
Huntington Beach,192129
Providence,190792
Brownsville,190158
Tempe,189834
Akron,188701
Glendale,187050
Chattanooga,187030
Fort Lauderdale,184255
Newport News,183118
Mobile,182595
Ontario,182457
Clarksville,180716
Cary,180010
Elk Grove,178444
Shreveport,177959
Eugene,177899
Aurora,177563
Salem,177432
Santa Rosa,175845
Rancho Cucamonga,174405
Pembroke Pines,171119
Fort Collins,170376
Springfield,170188
Oceanside,170020
Garden Grove,168234
Lancaster,166236
Murfreesboro,165430
Palmdale,161404
Corona,160238
Killeen,159643
Salinas,159506
Roseville,159135
Denton,158349
Surprise,158285
Macon-Bibb County,156512
Paterson,156452
Lakewood,155961
Hayward,155675
Charleston,155369
Alexandria,155230
Hollywood,153859
Springfield,153672
Kansas City,152933
Sunnyvale,151967
Bellevue,151574
Joliet,150489
Naperville,150245
