---
description: US female given names by frequency (SSA, top 1000)
locale: en
weighted: true
---
Mary,4130314
Elizabeth,1653689
Patricia,1572554
Jennifer,1468730
Linda,1453408
Barbara,1435049
Margaret,1253426
Susan,1122251
Dorothy,1108769
Sarah,1084272
Jessica,1047881
Helen,1020541
Nancy,1003004
Betty,1000106
Karen,986933
Lisa,965824
Anna,900284
Sandra,874321
Emily,865503
Ashley,849956
Kimberly,839976
Donna,831114
Ruth,827582
Carol,816518
Michelle,812630
Laura,797497
Amanda,787296
Melissa,756138
Rebecca,750934
Stephanie,741973
Deborah,741304
Sharon,722067
Kathleen,712471
Cynthia,709890
Emma,705898
Amy,694590
Shirley,685696
Angela,667454
Catherine,662873
Virginia,650075
Katherine,642169
Brenda,607531
Pamela,594583
Evelyn,593348
Frances,591543
Nicole,589778
Christine,585415
Samantha,580968
Alice,570613
Rachel,567500
Janet,556318
Carolyn,555725
Maria,551380
Debra,550498
Martha,549540
Marie,537635
Heather,525048
Diane,518241
Julie,509299
Grace,508780
Joyce,508060
Victoria,505449
Olivia,488724
Rose,488661
Joan,480325
Christina,477598
Kelly,472316
Lauren,471020
Ann,469118
Julia,464339
Doris,462151
Jean,458044
Lillian,454453
Kathryn,453192
Judith,453116
Mildred,450891
Hannah,444159
Cheryl,439324
Megan,438071
Andrea,437174
Sara,428113
Jacqueline,423139
Teresa,414412
Gloria,412912
Janice,406011
Theresa,403896
Madison,393367
Charlotte,388220
Abigail,383434
Judy,382365
Beverly,377441
Sophia,377012
Jane,373890
Denise,372670
Amber,371853
Marilyn,371746
Danielle,368589
Diana,361882
Natalie,361617
Isabella,361039
Brittany,359074
Ruby,358779
Irene,353164
Annie,352700
Kayla,341407
Lori,341190
Alexis,340737
Tiffany,337312
Florence,336106
Louise,333868
Kathy,333792
Lois,332324
Tammy,331848
Crystal,330969
Bonnie,325360
Taylor,324268
Anne,322631
Phyllis,322433
Ella,320502
Erin,314470
Josephine,313450
Alyssa,309686
Allison,305353
Eleanor,300987
Shannon,295278
Edna,294584
Ava,293538
Peggy,292672
Tina,291765
Robin,290221
Audrey,289786
Dawn,289174
Clara,285816
Rita,283604
Wanda,281085
Paula,279065
Ethel,278783
Norma,277618
Ellen,273985
Marjorie,272866
Eva,272364
Hazel,271321
Jamie,269038
Leslie,268143
Edith,267820
Connie,266525
Gladys,266429
Carrie,266019
Valerie,263196
Wendy,261366
Esther,260566
Elaine,258879
Courtney,257858
Cindy,256714
Vanessa,256539
Brianna,256445
Mia,252970
Melanie,251764
Tracy,251006
Jasmine,250458
Monica,249273
Sylvia,240998
April,239950
Katie,238371
Sheila,238253
Alexandra,237902
Caroline,235858
Leah,235789
Erica,230730
Sherry,229805
Alicia,227135
Lucille,226695
Pauline,226115
Thelma,225315
Michele,223154
Chloe,222700
Veronica,219953
Suzanne,218975
Kristen,218100
Amelia,217521
Morgan,217390
Anita,214357
Vivian,213475
Joanne,211579
Lucy,211471
Dolores,211115
Geraldine,210778
Lorraine,208991
Rhonda,207994
Jill,207971
Bertha,207705
Juanita,207336
Darlene,204400
Sally,204254
Holly,201753
Gail,201651
June,196494
Claire,194753
Madeline,193126
Brooke,193086
Dana,192328
Beatrice,192194
Marion,188636
Debbie,187719
Eileen,187294
Ida,186800
Renee,184735
Stella,184350
Lynn,182083
Bernice,181920
Elsie,181221
Regina,179952
Kim,179629
Kristin,179135
Jo,178866
Savannah,177393
Gertrude,176955
Loretta,175610
Rosa,175061
Tara,174565
Lydia,172977
Sydney,172872
Roberta,171240
Cathy,170206
Bessie,170070
Naomi,168796
Cassandra,168643
Molly,168511
Annette,168449
Jessie,168267
Hailey,167083
Laurie,166233
Kaitlyn,164394
Stacy,163267
Jeanette,163098
Jeanne,163067
Colleen,162418
Nora,162075
Chelsea,160894
Alma,160393
Beth,159210
Minnie,158988
Lily,158810
Agnes,158361
Rosemary,158117
Haley,157312
Pearl,157256
Lillie,156904
Lindsey,156647
Joann,156586
Yvonne,155684
Georgia,155458
Vicki,153239
Gina,152529
Violet,152512
Nellie,150211
Carla,149119
Sofia,148274
Destiny,148243
Kelsey,148236
Stacey,147461
Shelby,146385
Jenna,146265
Willie,146164
Terri,145979
Daisy,145498
Heidi,144982
Sue,144489
Maureen,144112
Vera,142606
Arlene,142415
Cora,142107
Paige,142038
Marian,140912
Lena,140630
Faith,140587
Avery,139983
Wilma,139887
Constance,139334
Carmen,139071
Sabrina,138392
Joy,137043
Zoe,136767
Myrtle,136462
Mabel,136376
Kristina,136039
Gabrielle,135865
Melinda,135356
Deanna,134003
Charlene,133176
Marcia,133126
Katelyn,132502
Jordan,132501
Mackenzie,132265
Kaylee,132240
Viola,131836
Mattie,131794
Sadie,131536
Tamara,130707
Addison,130444
Autumn,130232
Lindsay,129823
Marlene,129745
Alexa,129139
Nina,128864
Claudia,127118
Jennie,126777
Erika,124560
Gabriella,123615
Isabel,122978
Angelina,121236
Sophie,120470
Priscilla,120381
Tonya,120356
Gwendolyn,120292
Marissa,120054
Aubrey,120050
Patsy,119343
Riley,117958
Maggie,117770
Delores,117729
Tanya,116613
Genevieve,115890
Kylie,113959
Alison,113535
Maxine,112930
Yolanda,112622
Miranda,112438
Mae,111811
Caitlin,111705
Miriam,111570
Mariah,110859
Carole,110665
Brooklyn,110575
Leona,110188
Vickie,110011
Glenda,109103
Jocelyn,108415
Ariana,106889
Joanna,106736
Brandy,106306
Margie,105900
Dora,105543
Makayla,104482
Ana,104440
Marsha,104118
Maya,103092
Bailey,102521
Billie,101966
Brandi,101672
Melody,101330
Hattie,101186
Katrina,100896
Alexandria,100747
Cecilia,100543
Kara,100257
Harper,100214
Layla,100100
Toni,99693
Ada,98874
Bethany,98829
Penny,98615
Madelyn,98405
Kay,98402
Christy,98362
Sierra,97881
Isabelle,97774
Angel,97209
Terry,96917
Whitney,96430
Kendra,96412
Natasha,96244
Arianna,95927
Meghan,95555
Dianne,95188
Aaliyah,94707
Briana,94400
Zoey,94263
Marguerite,93639
Hope,91695
Adriana,91594
Jenny,91299
Lola,90962
Felicia,90924
Angelica,90884
Jackie,90850
Bridget,90449
Karla,89606
Harriet,89183
Jade,88946
Bobbie,88287
Geneva,88080
Blanche,87376
Becky,86722
Velma,86654
Tracey,86454
Iris,86152
Nevaeh,85942
Camila,85893
Elena,85658
Susie,85280
Fannie,85179
Jacquelyn,84721
Lula,84692
Candace,84656
Misty,84501
Shelly,84291
Kristine,84086
Sherri,83610
Kate,82741
Desiree,82527
Rachael,82244
Jillian,82099
Brittney,81995
Breanna,81779
Summer,81385
Rosie,81227
Gabriela,81173
Hilda,80747
Trinity,80651
Eunice,79869
Scarlett,79761
Jodi,79480
Sheryl,78739
Monique,78548
Penelope,78508
Antoinette,78423
Gianna,78372
Kennedy,78168
Lynda,77855
Mamie,77807
Peyton,77779
Gracie,77639
Casey,76841
Kristi,76430
Genesis,75646
Rosalie,75580
Ellie,75440
Janie,74873
Meredith,74810
Kelli,74785
Krystal,74629
Skylar,74504
Rebekah,74270
Bianca,74154
Krista,73497
Irma,73448
Beulah,73159
Ariel,72953
Shelley,72536
Belinda,72336
Natalia,71601
Valeria,70633
Kristy,70406
Alberta,70315
Opal,70300
Bella,70029
Camille,69486
Faye,69340
Lila,69207
Jeannette,69153
Ramona,69052
Elise,68925
Verna,68907
Cheyenne,68862
Sandy,68770
Flora,68731
Della,68443
Candice,67842
Inez,67672
Adrienne,67493
Aurora,67302
Jada,65960
Sonia,65802
Guadalupe,65741
Sonya,65253
Marianne,65047
Carly,64716
Aria,64608
Adeline,64455
Marcella,64401
Serenity,64238
Angie,63567
Nichole,63515
Yvette,63424
Daniela,62712
Annabelle,62624
Robyn,62447
Patty,62436
Maryann,62429
Josie,62336
Lee,62189
Lynne,61918
Callie,61782
Olga,61591
Kendall,61488
Myra,61470
Gayle,61330
Juliana,61191
Mckenzie,60987
Liliana,60559
Sheri,60426
Lilly,60280
Alana,59690
Karina,59489
Abby,59459
Celeste,59154
Kari,59109
Eliza,58641
Roxanne,58616
Tabitha,58405
Olive,58387
Ivy,57869
Cassidy,57678
Cecelia,57640
Mya,57547
Kaitlin,57198
Reagan,57190
Rylee,56937
Eloise,56586
Jordyn,56427
Alisha,55980
Dianna,55895
Jody,55752
Mallory,55579
Mila,55369
Payton,55201
Celia,54883
Janelle,54857
Erma,54836
Muriel,54735
Mikayla,54542
Jan,54521
Estelle,54235
Bernadette,53962
Aimee,53925
Gretchen,53550
Lana,53506
Vicky,53370
Selena,53321
Mable,52944
Kirsten,52903
Nadine,52693
Johanna,52459
Cara,52312
Allyson,52233
Traci,52133
Caitlyn,52080
Lora,51981
Lacey,51968
Cristina,51648
Piper,51505
Alejandra,51413
Michaela,51398
Henrietta,50949
Kiara,50873
Rosemarie,50831
Tessa,50803
Kellie,50652
Dominique,50419
Allie,50075
Hayley,49964
Jaime,49857
Sallie,49844
Raquel,49386
Nettie,49338
Luna,49257
Jaclyn,49231
Leila,49096
Johnnie,49000
Janis,48787
Corinne,48672
May,48610
Kerry,48595
Betsy,48569
Marisa,48504
Kylee,48420
Anastasia,48222
Shelia,47755
Julianna,47601
Esmeralda,47371
Mollie,47132
Eula,47104
Lucia,46907
Rochelle,46825
Eliana,46732
Elisabeth,46626
Delilah,46490
Lottie,46481
Paulette,46394
Ashlyn,46348
Doreen,46328
Adrianna,46245
Paisley,46071
Kelley,46010
Ginger,45986
Christie,45899
Giselle,45844
Cassie,45706
Maude,45580
Latoya,45524
Emilia,45446
Shawna,45444
Mona,45352
Mercedes,45339
Jana,45184
Laurel,45071
Patti,44704
Alexia,44625
Carolina,44439
Addie,44434
Jasmin,44226
Aubree,44210
Lorena,44065
Ernestine,44024
Elisa,44002
Teri,43918
Effie,43841
Winifred,43830
Valentina,43824
Dixie,43698
Alaina,43433
Nadia,43362
Ashlee,43338
Serena,43100
Lynette,43059
Laverne,42869
Khloe,42684
Darla,42548
Lela,42534
Freda,42447
Leticia,42373
Aliyah,42335
Mandy,42278
Jazmin,42273
Makenzie,42198
Mindy,42169
Jayla,42167
Madeleine,41995
Etta,41890
Meagan,41492
Ollie,41186
Katharine,41068
Shari,40895
Raven,40893
Kyla,40884
Adele,40612
Jewel,40558
Willow,40468
Estella,40141
Pat,40123
Tricia,40105
Trisha,40068
Leigh,40030
Nikki,39830
Margarita,39671
Mckenna,39641
Mariana,39607
Alondra,39569
Essie,39423
London,39365
Clarissa,39322
Lorene,39271
Sonja,39240
Hanna,39094
Ora,39065
Stacie,39046
Lizzie,39008
Athena,39002
Delaney,38990
Ebony,38866
Yesenia,38849
Brielle,38814
Rena,38730
Laila,38558
Marla,38361
Bettie,38339
Kristie,38326
Leilani,38314
Eden,38195
Justine,37987
Quinn,37958
Alissa,37945
Kimberley,37938
Tami,37889
Iva,37831
Lucinda,37812
Bonita,37769
Daphne,37358
Marina,37159
Noelle,37128
Stefanie,37030
Kira,36975
Kerri,36956
Jazmine,36852
Fern,36845
Helena,36833
Delia,36591
Goldie,36548
Reese,36243
Kyra,36231
Sasha,36116
Tori,36068
Cheri,36042
Francine,36032
Angeline,36013
Jeannie,36006
Phoebe,35867
Aileen,35709
Dakota,35650
Tasha,35449
Tammie,35368
Lyla,35362
Reba,35330
Therese,35226
Lenora,35206
Sherrie,35123
Charity,34934
Alina,34914
Bette,34846
Melba,34845
Britney,34800
Lucile,34729
Deloris,34674
Amaya,34652
Hadley,34585
Frankie,34445
Fatima,34393
Ronda,34308
Tatiana,34115
Lesley,34113
Brooklynn,34059
Patrice,34044
Dorothea,34012
Ciara,33957
Alisa,33898
Ina,33820
Lou,33789
Rachelle,33697
Kinsley,33523
Matilda,33498
Jolene,33402
Janine,33396
Tia,33215
Marisol,33199
Antonia,33169
Helene,33156
Millie,33151
Pam,33126
Diamond,33074
Shawn,32999
Christa,32723
Kasey,32656
Mayra,32601
Tracie,32563
Kassandra,32527
Trina,32498
Juliet,32467
Dena,32317
Hallie,32215
Lea,32098
Janette,32003
Keri,31995
Kayleigh,31974
Asia,31863
Fay,31857
Ashleigh,31730
Myrna,31657
Elva,31497
Chelsey,31331
Cleo,31255
Savanna,31249
Keira,31090
Dina,31083
Luella,31075
Juliette,31054
Francesca,30943
Gwen,30832
Macy,30604
Isla,30591
Paris,30500
Daniella,30454
Ximena,30361
Makenna,30350
Alivia,30342
Alayna,30308
Katelynn,30274
Shayla,30264
Latasha,30206
Julianne,30050
Clare,30043
Cherie,29907
Cathleen,29868
Fiona,29762
Debora,29682
Eugenia,29661
Harmony,29588
Ola,29582
Shana,29508
Elsa,29414
Randi,29390
Jewell,29362
Francis,29360
Adelaide,29340
Polly,29305
Leanne,29269
Charlie,29217
Haylee,29136
Nova,29128
Evangeline,29091
Sienna,29086
Cameron,29055
Hayden,29031
Willa,28935
Angelique,28830
Brenna,28804
Jayne,28793
Alta,28777
Alyson,28723
Hillary,28689
Ryleigh,28673
Talia,28487
Karin,28465
Emery,28355
Candy,28347
Joni,28347
Tania,28338
Lorna,28305
Shanna,28239
Carissa,28172
Lara,28131
Shauna,28013
Leola,28012
Rosetta,27941
Izabella,27657
Imogene,27566
Logan,27493
Camryn,27481
Tiana,27445
Cierra,27372
Marley,27308
Jodie,27238
Heaven,27234
Aniyah,27225
Arielle,27209
Sondra,27051
Kali,27048
Nell,26994
Elvira,26818
Eve,26687
Harley,26625
Ingrid,26605
Selma,26556
Norah,26452
Rosalind,26365
Luz,26301
Greta,26233
Malia,26209
Elaina,26191
Kailey,26147
Simone,26125
Everly,26100
Susanne,26037
Brynn,25823
Rhoda,25783
Emilie,25745
Glenna,25591
Nannie,25560
Trudy,25485
Jenifer,25466
Camilla,25459
Staci,25459
Taryn,25324
Frieda,25310
Clarice,25257
Ryan,25233
Skyler,25187
