---
description: US male given names by frequency (SSA, top 1000)
locale: en
weighted: true
---
James,5190161
John,5142243
Robert,4829631
Michael,4383488
William,4143886
David,3638877
Joseph,2631147
Richard,2569278
Charles,2405574
Thomas,2325071
Christopher,2042956
Daniel,1939068
Matthew,1618050
George,1473334
Anthony,1455708
Donald,1412664
Paul,1391502
Mark,1355095
Andrew,1304284
Edward,1295118
Steven,1286247
Kenneth,1277550
Joshua,1222779
Kevin,1174949
Brian,1168363
Ronald,1079769
Timothy,1075095
Jason,1039497
Jeffrey,976454
Jacob,951734
Ryan,943436
Frank,912710
Nicholas,909030
Gary,901024
Eric,881342
Stephen,860216
Jonathan,850006
Larry,806371
Justin,780860
Samuel,777969
Raymond,775164
Benjamin,773842
Scott,772668
Brandon,761951
Jack,712342
Henry,711408
Gregory,709071
Alexander,694837
Patrick,678380
Walter,624640
Dennis,618932
Jerry,613528
Tyler,593468
Aaron,592018
Peter,580391
Jose,573069
Adam,562522
Nathan,561294
Douglas,558442
Harold,550418
Zachary,541186
Arthur,533476
Carl,503689
Albert,489440
Kyle,481946
Lawrence,458416
Joe,451868
Willie,449392
Gerald,447954
Ethan,446042
Roger,440393
Jeremy,439630
Keith,436033
Christian,432454
Noah,431336
Terry,423468
Jesse,422625
Harry,422126
Austin,420778
Sean,419898
Ralph,413056
Roy,405885
Louis,399192
Dylan,384185
Bruce,384106
Bryan,384032
Jordan,383200
Billy,383165
Eugene,379385
Gabriel,361070
Russell,355312
Alan,353068
Juan,352984
Wayne,352976
Logan,352695
Vincent,347608
Howard,345545
Fred,343195
Philip,340956
Randy,328296
Victor,321705
Elijah,321098
Johnny,314215
Bobby,314037
Martin,310042
Phillip,309114
Bradley,308355
Mason,305015
Travis,304360
Shawn,304128
Clarence,302937
Ernest,301464
Stanley,299916
Craig,299105
Isaac,298315
Caleb,295792
Carlos,294192
Leonard,292291
Earl,288793
Cameron,288147
Jimmy,287162
Francis,287036
Luke,286476
Cody,286415
Danny,284269
Todd,281837
Luis,279113
Dale,277488
Alex,277035
Lucas,276392
Evan,274005
Nathaniel,273789
Joel,270984
Allen,269089
Frederick,262687
Theodore,260120
Curtis,259161
Jackson,258709
Liam,253047
Antonio,252413
Norman,252340
Marvin,251987
Tony,249883
Adrian,248122
Glenn,248000
Rodney,246109
Hunter,245432
Melvin,243433
Edwin,243190
Alfred,242457
Angel,241248
Steve,240698
Chad,240201
Ian,235750
Marcus,234324
Jesus,233224
Derek,233016
Lee,231752
Jeffery,229755
Herbert,227963
Julian,227692
Isaiah,226750
Jayden,224729
Wesley,223449
Aiden,223233
Ricky,221658
Connor,219774
Leo,219565
Troy,213109
Eddie,210404
Calvin,208122
Dustin,206289
Jeremiah,205856
Owen,205342
Mike,204906
Oscar,204465
Ray,203106
Jared,202065
Leroy,199572
Bernard,199391
Randall,197875
Oliver,194606
Jay,191254
Shane,189943
Clifford,187536
Manuel,186615
Corey,182913
Ronnie,181843
Gavin,181149
Miguel,181014
Barry,180664
Dean,180554
Blake,179275
Warren,178660
Tommy,176826
Dominic,175934
Carter,174840
Wyatt,173622
Charlie,173448
Sebastian,173390
Leon,170405
Chase,168897
Landon,167982
Don,167129
Jon,166822
Levi,166528
Seth,162892
Mitchell,162650
Lloyd,160472
Bill,160382
Jerome,160367
Alvin,159710
Darrell,159170
Trevor,158533
Brett,158189
Max,156229
Erik,154138
Floyd,154025
Micheal,153955
Gordon,153784
Edgar,153637
Jim,152959
Devin,152791
Lewis,152366
Mario,147103
Vernon,145785
Chris,145473
Derrick,143566
Clyde,143151
Xavier,142726
Ricardo,141974
Cole,141965
Marc,139653
Tom,139458
Brent,139182
Ivan,138398
Franklin,137569
Alejandro,137072
Francisco,136535
Herman,135690
Maurice,135103
Clayton,133582
Jorge,133478
Garrett,132600
Colton,132596
Eli,132206
Lester,130151
Gilbert,129355
Elmer,128736
Grant,128418
Colin,128243
Gene,126486
Cory,126244
Glen,125353
Andre,125345
Jake,125300
Brayden,125175
Sam,125122
Harvey,122469
Chester,120993
Josiah,120186
Jeff,120058
Spencer,119195
Bryce,117921
Milton,117251
Tristan,116907
Preston,116644
Carson,116473
Everett,115374
Duane,115092
Ruben,113340
Leslie,112808
Aidan,112726
Diego,112580
Parker,112257
Jimmie,112046
Casey,111726
Taylor,111327
Reginald,110617
Jessie,110561
Nolan,110273
Roberto,109796
Cecil,106391
Dan,106119
Eduardo,105688
Hector,104395
Lance,104360
Neil,103310
Arnold,103286
Darren,102697
Hayden,102642
Johnnie,101727
Javier,100854
Karl,100276
Micah,100178
Omar,99669
Roland,98660
Fernando,98474
Maxwell,98170
Riley,97035
Clinton,97033
Grayson,95534
Johnathan,95061
Allan,95057
Abraham,95012
Cooper,94675
Lonnie,94016
Tanner,93818
Damian,93311
Marshall,93087
Bob,92958
Elias,92512
Miles,92158
Jaxon,92144
Darryl,91822
Nicolas,91586
Claude,91153
Brady,91050
Andy,90999
Brendan,90532
Pedro,90322
Guy,90050
Dakota,87991
Andres,87264
Jamie,86309
Raul,85633
Kurt,85534
Harrison,83919
Ben,83736
Sidney,83459
Tim,83190
Brad,82948
Dalton,82514
Hugh,82153
Wallace,82078
Kelly,81874
Rick,81644
Rafael,81552
Ross,81198
Byron,80847
Emmanuel,80586
Angelo,80523
Julius,80202
Kaleb,80146
Ayden,79270
Tyrone,78747
Roman,78716
Jackie,78608
Lincoln,78306
Dwight,78296
Collin,78171
Nelson,78065
Sergio,77851
Greg,77627
Willard,77449
Ashton,76905
Jaden,76706
Mathew,76199
Dwayne,76029
Ramon,75879
Drew,75799
Leonardo,75740
Perry,75298
Ted,74949
Jace,74740
Giovanni,74426
Cesar,74370
Erick,74315
Hudson,74098
Armando,73873
Felix,73480
Mateo,73240
Freddie,72890
Brody,72870
Marco,72326
Marion,72208
Terrence,71740
Wade,71591
Virgil,71456
Devon,71325
Santiago,71275
Lorenzo,71149
Jonah,71080
Asher,70689
Morris,70535
Bryson,69962
Shaun,69882
Clifton,69798
Terrance,69367
Jaime,69157
Kent,68764
Stuart,68643
Kirk,67799
Luther,66380
Ezra,65662
Damon,65322
Jonathon,64993
Alexis,64889
Cristian,64840
Dominick,64443
Israel,64260
Malcolm,64253
Dallas,64188
Dave,64063
Fredrick,63948
Dillon,63571
Kaden,63548
Caden,63491
Simon,62966
Daryl,62613
Emmett,62483
Kristopher,62210
Rickey,61455
Julio,61334
Tracy,61312
Alberto,61049
Homer,60756
Donnie,60468
Easton,60340
Damien,59415
Avery,59381
Otis,58985
Gage,58911
Rex,58693
Enrique,58527
Donovan,58364
Earnest,58274
Gerard,58222
Lyle,58135
Kayden,57648
Hubert,57422
Abel,57407
Trenton,57017
Wilbur,56742
Salvatore,56070
Ezekiel,55393
Alfredo,55329
Leland,54901
Arturo,54731
Neal,54563
Silas,54519
Conner,54384
Jaxson,54381
Braxton,54273
Geoffrey,54186
Horace,54065
Ira,54009
Alec,53610
Weston,53426
Malachi,53361
Wendell,53340
Rudolph,53297
Dana,53162
Gerardo,52637
Bennie,52453
Joey,52427
Lynn,52303
Shannon,52137
Josue,52110
Darius,52103
Willis,52059
Emanuel,51679
Colby,51654
Archie,51474
Ryder,51471
Elliott,51330
Edmund,51173
Kenny,51160
Sawyer,51046
Trent,50754
Bryant,50608
Axel,50548
Marcos,50482
Kelvin,50382
Zane,50361
August,50223
Chance,50182
Peyton,49865
Rene,49835
Bentley,49776
Nick,49771
Kerry,49727
Forrest,49687
Randolph,49327
Camden,49278
Carlton,48656
Rudy,48640
Bennett,48610
Noel,48499
Grady,48415
Graham,48326
Jasper,48031
Orlando,47902
Salvador,47778
Garry,47574
Myles,47415
Benny,47296
Clark,47046
Kai,47029
Alton,46905
Delbert,46843
Wilson,46801
Elliot,46740
Roderick,46718
Pablo,46383
Loren,46215
Dante,46144
Ty,45906
Malik,45643
Tucker,45432
Robin,45342
Braden,45197
Will,45063
Myron,44885
Tyson,44553
Ellis,44364
Jameson,44278
Irving,43875
Beau,43793
Greyson,43752
Emilio,43478
Ernesto,43340
Declan,43339
Pete,43261
Morgan,43011
Alonzo,42984
Griffin,42914
Sylvester,42885
Sammy,42837
Kaiden,42525
Jude,42150
Brock,41858
Quentin,41579
Dawson,41359
Jermaine,41303
Junior,41183
Frankie,41171
Lowell,41151
Cedric,40989
Fabian,40844
Lane,40784
Saul,40601
Moses,40331
Alfonso,40237
Skyler,39985
Wilbert,39911
Mack,39668
Harley,39524
Irvin,39509
Laurence,39375
Sherman,39064
Amir,38720
Nickolas,38678
Woodrow,38637
Trey,38634
Ervin,38476
Gustavo,38170
Luca,38125
Ismael,37929
Clay,37796
Jalen,37574
Corbin,37558
Roosevelt,37517
Maddox,37506
Maverick,37316
Lukas,36927
Gregg,36483
Sheldon,36347
Conrad,36231
Ron,36210
Cayden,36079
Keegan,35991
Cornelius,35985
Rufus,35942
Terrell,35815
Desmond,35647
Jaylen,35525
Carroll,35411
Reid,35294
Kameron,34999
Orville,34996
Brooks,34949
Kim,34899
Demetrius,34897
Drake,34709
Chandler,34501
Dexter,34484
Kendall,34458
Amos,34352
Solomon,34310
Tommie,34286
Dewey,34233
Otto,34167
Terence,34042
Jayce,33910
Toby,33862
Zion,33614
Kingston,33558
Bert,33539
Jayson,33537
Hugo,33536
Quinn,33529
Elbert,33473
Kyler,33315
Lamar,33292
Sterling,33183
Rodolfo,33115
Ken,32814
Teddy,32451
Darin,32374
Clint,32348
Reed,32293
Emil,32251
Jamal,32196
Dane,32190
Brennan,32113
Esteban,32082
Blaine,31998
Marty,31935
Bradford,31865
Billie,31593
Percy,31579
Xander,31577
Lionel,31367
Jody,31336
Stewart,31068
King,30956
Jakob,30919
Zackary,30818
Reuben,30655
Gael,30651
Guillermo,30614
Joaquin,30519
Merle,30514
Felipe,30498
Aubrey,30495
Ryker,30457
Doyle,30344
Kendrick,30300
Jaiden,30249
Waylon,30196
Rylan,30155
Quinton,30061
Marlon,29870
Davis,29820
Bret,29709
Darrel,29652
Zachery,29581
Royce,29576
Darrin,29436
Wilfred,29279
Dick,29273
Anderson,29110
Randal,29088
Rowan,29065
Ali,29025
Tomas,28854
Winston,28829
Milo,28807
Louie,28798
Cade,28751
Maximus,28685
Rory,28649
Moises,28645
Rocco,28615
Zachariah,28516
Walker,28507
Emiliano,28444
Deandre,28375
Heath,28262
Darnell,28227
Adan,28212
Van,28169
Gilberto,28033
Branden,27286
Boyd,27260
Mickey,27161
Stephan,27109
Emerson,27088
Brantley,27053
Grover,26985
Rocky,26947
Pat,26732
Antoine,26712
Dewayne,26232
Holden,26217
Ed,26185
Freddy,26090
Jerald,26058
Vance,25871
Jonas,25801
Eldon,25789
Quincy,25696
Timmy,25657
Cruz,25417
Brenden,25361
Rhett,25341
Finn,25247
Johnathon,25203
Landen,25180
Jarrod,25171
Darwin,25153
Conor,25086
Judah,25011
Ramiro,24974
Jess,24952
Guadalupe,24910
Rogelio,24863
Rodrigo,24822
Thaddeus,24578
Edmond,24552
Harlan,24405
Cary,24353
Jean,24277
Payton,24081
Isiah,24017
Marquis,23907
Zander,23849
Garland,23774
Barrett,23735
Lamont,23710
Matt,23706
Rolando,23655
Charley,23528
Cyrus,23407
Anton,23233
River,23177
Tobias,23080
Zayden,22923
Dominique,22860
Issac,22849
Courtney,22811
Jefferson,22730
Kody,22706
Jarrett,22537
Doug,22471
Monte,22470
Loyd,22407
Buddy,22381
Burton,22346
Titus,22291
Stacy,22191
Mauricio,22156
Jan,22072
Leonel,22049
Nikolas,21904
Paxton,21894
Cleveland,21876
Noe,21871
Roscoe,21804
Murray,21660
Dorian,21569
Cash,21527
Rodger,21486
Matteo,21473
Jase,21464
Karter,21448
Romeo,21402
Amari,21258
Bailey,21052
Robbie,21045
Elton,20960
Erwin,20939
Colt,20916
Johnie,20891
Raphael,20799
Marlin,20759
Sammie,20737
Tristen,20601
Keaton,20519
Elwood,20500
Vaughn,20475
Elvin,20392
Aden,20360
Nathanael,20345
Norbert,20334
Caiden,20236
Denis,20216
Duncan,20120
Khalil,20110
Reynaldo,20014
Stefan,20003
Phil,19991
Vicente,19831
Brendon,19778
Kristian,19723
Gunner,19692
Aron,19418
Tate,19384
Gus,19264
Ariel,19232
Prince,19209
Derick,19117
Jax,19094
Reece,18855
Emery,18741
Adolph,18731
Major,18690
Beckett,18659
Scotty,18644
Jamison,18644
Ignacio,18615
Kade,18611
Justice,18448
Bobbie,18402
Kobe,18385
Ahmad,18296
Marcel,18273
Abram,18211
Pierre,18195
Phoenix,18194
Augustus,18154
Nehemiah,18086
Adriel,18073
Orion,18063
Maximiliano,18036
Asa,17988
Kurtis,17915
Porter,17902
Dion,17902
Sonny,17897
Efrain,17872
Uriel,17867
Chuck,17839
Ulysses,17789
Rusty,17593
Skylar,17564
Emory,17548
Zackery,17536
Wiley,17484
Pierce,17437
Reese,17424
Messiah,17415
Remington,17411
Jarvis,17314
Santos,17306
Keenan,17275
Ned,17244
Theo,17236
Elvis,17215
Al,17026
Jett,17014
Gideon,16995
Bruno,16907
Carey,16815
Josh,16812
Karson,16773
Coy,16769
Coleman,16766
Javon,16750
Millard,16729
Carmen,16665
Curt,16640
Hal,16629
Mohamed,16611
Ollie,16586
Braylon,16576
Aldo,16543
Russel,16498
Humberto,16484
Damion,16450
Kermit,16433
Ernie,16430
Maximilian,16364
Norris,16361
Thurman,16361
Bart,16356
Monroe,16317
Galen,16294
Rickie,16287
Shelby,16228
Enzo,16176
Archer,16136
Kareem,16132
Denver,16130
Royal,16104
Houston,16100
Cohen,16084
Barney,16076
Ari,15995
Forest,15976
Alden,15969
Irwin,15881
Darian,15852
Ezequiel,15848
Kellen,15800
Adolfo,15744
Ashley,15721
Alvaro,15716
Gunnar,15695
Rashad,15674
