---
description: Language name (Estonian). The order records Estonia’s real linguistic map. Eesti keel is the sole official language and vene keel is the mother tongue of about a quarter of the population. Below them sit the South Estonian varieties — võru keel, seto keel, mulgi keel, tartu keel and the island speech of kihnu keel — which Estonia treats as regional forms of Estonian but which are separated from standard Estonian by more than Swedish is from Norwegian; Võro has its own literary standard, newspapers and schools. Eesti viipekeel, Estonian Sign Language, is protected by law as a language in its own right. The two at the end are the nearly-lost Finnic relatives: liivi keel lost its last native speaker in 2013, and vadja keel has a handful left.
locale: et
---
eesti keel
vene keel
inglise keel
võru keel
seto keel
mulgi keel
tartu keel
kihnu keel
eesti viipekeel
soome keel
saksa keel
rootsi keel
norra keel
taani keel
islandi keel
läti keel
leedu keel
ukraina keel
valgevene keel
poola keel
tšehhi keel
slovaki keel
ungari keel
rumeenia keel
bulgaaria keel
serbia keel
horvaadi keel
kreeka keel
itaalia keel
hispaania keel
portugali keel
prantsuse keel
hollandi keel
türgi keel
araabia keel
heebrea keel
hiina keel
jaapani keel
korea keel
hindi keel
gruusia keel
armeenia keel
liivi keel
vadja keel
