---
description: Country as Georgian names it, weighted by population in millions. Georgia itself is on the list: it is the one country where this language is official.
locale: ka
weighted: true
---
ჩინეთი,1410
ინდოეთი,1400
ამერიკის შეერთებული შტატები,335
ინდონეზია,275
პაკისტანი,240
ნიგერია,220
ბრაზილია,215
ბანგლადეში,170
რუსეთი,144
მექსიკა,128
იაპონია,125
ეგვიპტე,110
ვიეტნამი,98
თურქეთი,85
გერმანია,84
ტაილანდი,72
საფრანგეთი,68
გაერთიანებული სამეფო,67
სამხრეთ აფრიკის რესპუბლიკა,60
იტალია,59
სამხრეთ კორეა,52
ესპანეთი,47
არგენტინა,46
კანადა,39
პოლონეთი,38
საუდის არაბეთი,36
ავსტრალია,26
ნიდერლანდები,18
საბერძნეთი,10
პორტუგალია,10
შვედეთი,10
შვეიცარია,9
სინგაპური,6
ნორვეგია,5
ირლანდია,5
ახალი ზელანდია,5
საქართველო,4
