---
description: Korean male given name, in hangul. Written straight after the family name with no space: 김 + 민준 = 김민준.
weighted: true
---
민준,1000000
서준,933032
도윤,895958
예준,870550
시우,851339
하준,835958
주원,823171
지호,812252
지후,802741
준우,794328
준서,786793
건우,779977
현우,773758
우진,768045
선우,762765
서진,757858
유준,753277
은우,748984
정우,744945
승우,741134
지훈,737527
준혁,734104
태윤,730848
시윤,727744
지한,724779
이준,721942
재윤,719223
도현,716612
지환,714101
성민,711685
윤호,709355
진우,707106
민재,704934
현준,702832
승현,700798
태현,698827
예성,696915
규민,695058
지원,693255
강민,691502
영수,689797
철수,688137
영호,686519
정호,684943
성호,683405
상호,681905
병철,680440
종석,679009
창수,677610
광수,676243
영철,674905
재석,673596
정환,672314
동현,671058
상현,669828
지성,668622
태호,667440
형준,666280
경수,665142
남준,664025
동욱,662928
상우,661851
승민,660793
시현,659753
연우,658731
우빈,657726
재현,656738
정민,655766
준영,654809
진호,653868
찬우,652941
태민,652028
하윤,651130
현서,650244
호준,649372
승준,648512
도훈,647665
민성,646830
성준,646007
유찬,645195
강훈,644394
근우,643603
기훈,642824
남우,642054
대현,641295
도경,640545
명석,639805
무진,639074
백호,638353
범수,637640
석진,636936
세훈,636240
수현,635552
시온,634873
아진,634202
여준,633538
영진,632882
온유,632233
완규,631591
용준,630957
