---
description: Russian female patronymic, the feminine form of the same patronymic at the same line as person/male/patronymic — so siblings share a father.
weighted: true
---
Александровна,1000000
Сергеевна,500000
Владимировна,333333
Андреевна,250000
Алексеевна,200000
Дмитриевна,166667
Михайловна,142857
Николаевна,125000
Ивановна,111111
Евгеньевна,100000
Максимовна,90909
Артёмовна,83333
Денисовна,76923
Игоревна,71429
Павловна,66667
Юрьевна,62500
Викторовна,58824
Романовна,55556
Олеговна,52632
Анатольевна,50000
Константиновна,47619
Васильевна,45455
Антоновна,43478
Витальевна,41667
Валерьевна,40000
Борисовна,38462
Григорьевна,37037
Леонидовна,35714
Петровна,34483
Егоровна,33333
Никитична,32258
Илинична,31250
Кирилловна,30303
Даниловна,29412
Тимофеевна,28571
Матвеевна,27778
Арсеньевна,27027
Фёдоровна,26316
Степановна,25641
Захаровна,25000
Львовна,24390
Марковна,23810
Глебовна,23256
Ярославовна,22727
Всеволодовна,22222
Вячеславовна,21739
Станиславовна,21277
Богдановна,20833
Тимуровна,20408
Руслановна,20000
Артуровна,19608
Эдуардовна,19231
Валентиновна,18868
Геннадьевна,18519
Аркадьевна,18182
Семёновна,17857
Филипповна,17544
Германовна,17241
Родионовна,16949
Савельевна,16667
Платоновна,16393
Ефимовна,16129
Гаврииловна,15873
Наумовна,15625
Тарасовна,15385
Устиновна,15152
Игнатьевна,14925
Фомична,14706
Лукична,14493
Макаровна,14286
Кузьмична,14085
Трофимовна,13889
Афанасьевна,13699
Климовна,13514
Лаврентьевна,13333
Мироновна,13158
Никифоровна,12987
Спиридоновна,12821
Терентьевна,12658
Харитоновна,12500
Яковлевна,12346
