---
description: Ordinary Albanian adjective. Most Albanian adjectives need the linking article i (masculine) or e (feminine) before them, and it is part of the word in use: i madh but e madhe. These are given in the masculine.
locale: sq
---
i aftë
i ndritshëm
i qetë
i zgjuar
i ftohtë
i errët
i thellë
i etur
i hershëm
i lehtë
i drejtë
i shpejtë
i butë
i lumtur
i rëndë
i ndershëm
i mirë
i madh
i vogël
i lartë
i ulët
i gjatë
i shkurtër
i gjerë
i ngushtë
i ri
i vjetër
i pastër
i pisët
i plotë
i zbrazët
i fortë
i dobët
i pasur
i varfër
i mprehtë
i thjeshtë
i lëmuar
i ëmbël
i hidhur
i ngrohtë
i egër
i urtë
i heshtur
