---
description: Ukrainian female patronymic (-івна/-ївна), the feminine form of the same father's name at the same line as person/male/patronymic
weighted: true
---
Олександрівна,1000000
Андріївна,933032
Сергіївна,895958
Володимирівна,870550
Іванівна,851339
Дмитрівна,835958
Максимівна,823171
Миколаївна,812252
Артемівна,802741
Богданівна,794328
Віталіївна,786793
Юріївна,779977
Тарасівна,773758
Василівна,768045
Петрівна,762765
Ігорівна,757858
Романівна,753277
Павлівна,748984
Олегівна,744945
Ярославівна,741134
Назарівна,737527
Денисівна,734104
Євгенівна,730848
Вікторівна,727744
Анатоліївна,724779
Валеріївна,721942
Григорівна,719223
Михайлівна,716612
Степанівна,714101
Данилівна,711685
Тимофіївна,709355
Матвіївна,707106
Захарівна,704934
Кирилівна,702832
