---
description: Ukrainian male surname. The parallel of person/female/lastName line for line, so a family keeps one name.
weighted: true
---
Мельник,1000000
Шевченко,933032
Бондаренко,895958
Ткаченко,870550
Ковальчук,851339
Кравченко,835958
Коваленко,823171
Олійник,812252
Шевчук,802741
Поліщук,794328
Бондар,786793
Ткачук,779977
Мороз,773758
Марченко,768045
Лисенко,762765
Руденко,757858
Савченко,753277
Петренко,748984
Клименко,744945
Павленко,741134
Мельничук,737527
Мазур,734104
Кравчук,730848
Кучеренко,727744
Романенко,724779
Гриценко,721942
Литвиненко,719223
Захарченко,716612
Іваненко,714101
Даниленко,711685
Костенко,709355
Науменко,707106
Сергієнко,704934
Гончаренко,702832
Василенко,700798
Ярошенко,698827
Панченко,696915
Юрченко,695058
Онищенко,693255
Тимченко,691502
Кириленко,689797
Демченко,688137
Сидоренко,686519
Левченко,684943
Зінченко,683405
Панасенко,681905
Хоменко,680440
Дорошенко,679009
Пилипенко,677610
Радченко,676243
Ковальський,674905
Вишневський,673596
Заславський,672314
Хмельницький,671058
Грушевський,669828
Лебединський,668622
Житомирський,667440
Богуславський,666280
Дубницький,665142
Яворський,664025
Синицький,662928
Полтавський,661851
Сірий,660793
Білий,659753
Чорний,658731
Довгий,657726
