---
description: Languages named in Uzbek, each as a noun plus тили. Ўзбек тили and қорақалпоқ тили come first because both are official — Karakalpak is the state language of the autonomous republic. Рус тили follows as the language of interethnic communication, and the regional languages after it reflect who actually lives here.
locale: uz
---
ўзбек тили
қорақалпоқ тили
рус тили
инглиз тили
тожик тили
қозоқ тили
қирғиз тили
туркман тили
уйғур тили
татар тили
озарбайжон тили
турк тили
араб тили
форс тили
урду тили
ҳинд тили
хитой тили
корейс тили
япон тили
немис тили
франсуз тили
испан тили
италян тили
португал тили
украин тили
беларус тили
поляк тили
чех тили
венгер тили
румин тили
болгар тили
юнон тили
голланд тили
швед тили
норвег тили
фин тили
дан тили
иброний тили
ветнам тили
тай тили
индонез тили
малай тили
бенгал тили
арман тили
грузин тили
монгол тили
