name,state,population
New York,New York,8258035
Los Angeles,California,3820914
Chicago,Illinois,2664452
Houston,Texas,2314157
Phoenix,Arizona,1650070
Philadelphia,Pennsylvania,1550542
San Antonio,Texas,1495295
San Diego,California,1388320
Dallas,Texas,1302868
Jacksonville,Florida,985843
Austin,Texas,979882
Fort Worth,Texas,978468
San Jose,California,969655
Columbus,Ohio,913175
Charlotte,North Carolina,911311
Indianapolis city,Indiana,879293
San Francisco,California,808988
Seattle,Washington,755078
Denver,Colorado,716577
Oklahoma City,Oklahoma,702767
Nashville-Davidson metropolitan government,Tennessee,687788
Washington,District of Columbia,678972
El Paso,Texas,678958
Las Vegas,Nevada,660929
Boston,Massachusetts,653833
Detroit,Michigan,633218
Portland,Oregon,630498
Louisville/Jefferson County metro government,Kentucky,622981
Memphis,Tennessee,618639
Baltimore,Maryland,565239
Milwaukee,Wisconsin,561385
Albuquerque,New Mexico,560274
Tucson,Arizona,547239
Fresno,California,545716
Sacramento,California,526384
Mesa,Arizona,511648
Atlanta,Georgia,510823
Kansas City,Missouri,510704
Colorado Springs,Colorado,488664
Omaha,Nebraska,483335
Raleigh,North Carolina,482295
Miami,Florida,455924
Virginia Beach,Virginia,453649
Long Beach,California,449468
Oakland,California,436504
Minneapolis,Minnesota,425115
Bakersfield,California,413381
Tulsa,Oklahoma,411894
Tampa,Florida,403364
Arlington,Texas,398431
Wichita,Kansas,396119
Aurora,Colorado,395052
New Orleans,Louisiana,364136
Cleveland,Ohio,362656
Urban Honolulu,Hawaii,341778
Anaheim,California,340512
Henderson,Nevada,337305
Orlando,Florida,320742
Lexington-Fayette,Kentucky,320154
Stockton,California,319543
Riverside,California,318858
Corpus Christi,Texas,316595
Irvine,California,314621
Cincinnati,Ohio,311097
Santa Ana,California,310539
Newark,New Jersey,304960
St. Paul,Minnesota,303820
Pittsburgh,Pennsylvania,303255
Greensboro,North Carolina,302296
Durham,North Carolina,296186
Lincoln,Nebraska,294757
Jersey City,New Jersey,291657
Plano,Texas,290190
Anchorage,Alaska,286075
North Las Vegas,Nevada,284771
St. Louis,Missouri,281754
Madison,Wisconsin,280305
Chandler,Arizona,280167
Gilbert,Arizona,275411
Reno,Nevada,274915
Buffalo,New York,274678
Chula Vista,California,274333
Fort Wayne,Indiana,269994
Lubbock,Texas,266878
Toledo,Ohio,265304
St. Petersburg,Florida,263553
Laredo,Texas,257602
Irving,Texas,254373
Chesapeake,Virginia,253886
Glendale,Arizona,253855
Winston-Salem,North Carolina,252975
Port St. Lucie,Florida,245021
Scottsdale,Arizona,244394
Garland,Texas,243470
Boise City,Idaho,235421
Norfolk,Virginia,230930
Spokane,Washington,229447
Richmond,Virginia,229247
Fremont,California,226208
Huntsville,Alabama,225564
Frisco,Texas,225007
Cape Coral,Florida,224455
Santa Clarita,California,224028
San Bernardino,California,223728
Tacoma,Washington,222906
Hialeah,Florida,221300
Baton Rouge,Louisiana,219573
Modesto,California,218915
Fontana,California,215465
McKinney,Texas,213509
Moreno Valley,California,212392
Des Moines,Iowa,210381
Fayetteville,North Carolina,209749
Salt Lake City,Utah,209593
Yonkers,New York,207657
Worcester,Massachusetts,207621
Rochester,New York,207274
Sioux Falls,South Dakota,206410
Little Rock,Arkansas,203842
Amarillo,Texas,202408
Tallahassee,Florida,202221
Grand Prairie,Texas,202134
Columbus,Georgia,201877
Augusta-Richmond County consolidated government,Georgia,200884
Peoria,Arizona,198750
Oxnard,California,198488
Knoxville,Tennessee,198162
Overland Park,Kansas,197089
Birmingham,Alabama,196644
Grand Rapids,Michigan,196608
Vancouver,Washington,196442
Montgomery,Alabama,195287
Huntington Beach,California,192129
Providence,Rhode Island,190792
Brownsville,Texas,190158
Tempe,Arizona,189834
Akron,Ohio,188701
Glendale,California,187050
Chattanooga,Tennessee,187030
Fort Lauderdale,Florida,184255
Newport News,Virginia,183118
Mobile,Alabama,182595
