name,count
Mary,4130314
Elizabeth,1653689
Patricia,1572554
Jennifer,1468730
Linda,1453408
Barbara,1435049
Margaret,1253426
Susan,1122251
Dorothy,1108769
Sarah,1084272
Jessica,1047881
Helen,1020541
Nancy,1003004
Betty,1000106
Karen,986933
Lisa,965824
Anna,900284
Sandra,874321
Emily,865503
Ashley,849956
Kimberly,839976
Donna,831114
Ruth,827582
Carol,816518
Michelle,812630
Laura,797497
Amanda,787296
Melissa,756138
Rebecca,750934
Stephanie,741973
Deborah,741304
Sharon,722067
Kathleen,712471
Cynthia,709890
Emma,705898
Amy,694590
Shirley,685696
Angela,667454
Catherine,662873
Virginia,650075
Katherine,642169
Brenda,607531
Pamela,594583
Evelyn,593348
Frances,591543
Nicole,589778
Christine,585415
Samantha,580968
Alice,570613
Rachel,567500
Janet,556318
Carolyn,555725
Maria,551380
Debra,550498
Martha,549540
Marie,537635
Heather,525048
Diane,518241
Julie,509299
Grace,508780
Joyce,508060
Victoria,505449
Olivia,488724
Rose,488661
Joan,480325
Christina,477598
Kelly,472316
Lauren,471020
Ann,469118
Julia,464339
Doris,462151
Jean,458044
Lillian,454453
Kathryn,453192
Judith,453116
Mildred,450891
Hannah,444159
Cheryl,439324
Megan,438071
Andrea,437174
Sara,428113
Jacqueline,423139
Teresa,414412
Gloria,412912
Janice,406011
Theresa,403896
Madison,393367
Charlotte,388220
Abigail,383434
Judy,382365
Beverly,377441
Sophia,377012
Jane,373890
Denise,372670
Amber,371853
Marilyn,371746
Danielle,368589
Diana,361882
Natalie,361617
Isabella,361039
Brittany,359074
Ruby,358779
Irene,353164
Annie,352700
Kayla,341407
Lori,341190
Alexis,340737
Tiffany,337312
Florence,336106
Louise,333868
Kathy,333792
Lois,332324
Tammy,331848
Crystal,330969
Bonnie,325360
Taylor,324268
Anne,322631
Phyllis,322433
Ella,320502
Erin,314470
Josephine,313450
Alyssa,309686
Allison,305353
Eleanor,300987
Shannon,295278
Edna,294584
Ava,293538
Peggy,292672
Tina,291765
Robin,290221
Audrey,289786
Dawn,289174
Clara,285816
Rita,283604
Wanda,281085
Paula,279065
Ethel,278783
Norma,277618
Ellen,273985
Marjorie,272866
Eva,272364
Hazel,271321
Jamie,269038
Leslie,268143
Edith,267820
Connie,266525
Gladys,266429
Carrie,266019
Valerie,263196
Wendy,261366
Esther,260566
Elaine,258879
Courtney,257858
Cindy,256714
Vanessa,256539
Brianna,256445
Mia,252970
Melanie,251764
Tracy,251006
Jasmine,250458
Monica,249273
Sylvia,240998
April,239950
Katie,238371
Sheila,238253
Alexandra,237902
Caroline,235858
Leah,235789
Erica,230730
Sherry,229805
Alicia,227135
Lucille,226695
Pauline,226115
Thelma,225315
Michele,223154
Chloe,222700
Veronica,219953
Suzanne,218975
Kristen,218100
Amelia,217521
Morgan,217390
Anita,214357
Vivian,213475
Joanne,211579
Lucy,211471
Dolores,211115
Geraldine,210778
Lorraine,208991
Rhonda,207994
Jill,207971
Bertha,207705
Juanita,207336
Darlene,204400
Sally,204254
Holly,201753
Gail,201651
June,196494
Claire,194753
Madeline,193126
Brooke,193086
Dana,192328
Beatrice,192194
Marion,188636
Debbie,187719
Eileen,187294
Ida,186800
Renee,184735
Stella,184350
Lynn,182083
Bernice,181920
Elsie,181221
Regina,179952
Kim,179629
Kristin,179135
Jo,178866
Savannah,177393
Gertrude,176955
Loretta,175610
Rosa,175061
Tara,174565
Lydia,172977
Sydney,172872
